locus_tag	type	contig	start	end	strand	length	product	score	inference	db_xref	gene	operon	note
BSUB_00001	CDS	NC_000964.3	410	1750	+	1340	Bac_DnaA	270.5	protein motif:Pfam-A	Pfam:PF00308.25		OP_0001:1/7	
BSUB_00002	CDS	NC_000964.3	1939	3075	+	1136	DNA_pol3_beta	190.0	protein motif:Pfam-A	Pfam:PF00712.25		OP_0001:2/7	
BSUB_00003	CDS	NC_000964.3	3206	3421	+	215	S4_2	100.6	protein motif:Pfam-A	Pfam:PF13275.12		OP_0001:3/7	
BSUB_00004	CDS	NC_000964.3	3437	4549	+	1112	SMC_N	75.9	protein motif:Pfam-A	Pfam:PF02463.26		OP_0001:4/7	
BSUB_00005	CDS	NC_000964.3	4567	4812	+	245	hypothetical protein	20.9	ab initio prediction:Prodigal			OP_0001:5/7	
BSUB_00006	CDS	NC_000964.3	4861	6783	+	1922	DNA_gyraseB	219.9	protein motif:Pfam-A	Pfam:PF00204.32		OP_0001:6/7	
BSUB_00007	CDS	NC_000964.3	6994	9459	+	2465	DNA_topoisoIV	564.0	protein motif:Pfam-A	Pfam:PF00521.27		OP_0001:7/7	
BSUB_r0001	rRNA	NC_000964.3	9815	11361	+	1546	16S ribosomal RNA		COORDINATES:profile:Barrnap				
BSUB_00008	CDS	NC_000964.3	11006	11260	+	254	hypothetical protein	6.3	ab initio prediction:Prodigal				
BSUB_t0001	tRNA	NC_000964.3	11464	11540	+	76	tRNA-Ile		COORDINATES:profile:Aragorn				
BSUB_t0002	tRNA	NC_000964.3	11552	11627	+	75	tRNA-Ala		COORDINATES:profile:Aragorn				
BSUB_r0002	rRNA	NC_000964.3	11711	14635	+	2924	23S ribosomal RNA		COORDINATES:profile:Barrnap				
BSUB_r0003	rRNA	NC_000964.3	14694	14804	+	110	5S ribosomal RNA	0.0	COORDINATES:profile:Barrnap				
BSUB_00009	CDS	NC_000964.3	14847	15794	-	947	YaaC	350.0	protein motif:Pfam-A	Pfam:PF14175.12			
BSUB_00010	CDS	NC_000964.3	15915	17381	+	1466	IMPDH	568.5	protein motif:Pfam-A	Pfam:PF00478.32		OP_0002:1/4	
BSUB_00011	CDS	NC_000964.3	17534	18865	+	1331	Peptidase_S11	274.6	protein motif:Pfam-A	Pfam:PF00768.26		OP_0002:2/4	signal_peptide:1..31;score=2.7;h_max=3.14
	signal_peptide	NC_000964.3	17534	17626	+	92	signal peptide (BSUB_00011)	2.7	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00011;cleavage_site=31
BSUB_00012	CDS	NC_000964.3	19062	19946	+	884	SOR_SNZ	354.9	protein motif:Pfam-A	Pfam:PF01680.24		OP_0002:3/4	
BSUB_00013	CDS	NC_000964.3	19968	20558	+	590	SNO	290.8	protein motif:Pfam-A	Pfam:PF01174.26		OP_0002:4/4	
BSUB_00014	CDS	NC_000964.3	20880	22157	+	1277	tRNA-synt_2b	159.7	protein motif:Pfam-A	Pfam:PF00587.31			
BSUB_t0003	tRNA	NC_000964.3	22292	22384	+	92	tRNA-Ser		COORDINATES:profile:Aragorn				
BSUB_00015	CDS	NC_000964.3	22496	23149	-	653	dNK	244.9	protein motif:Pfam-A	Pfam:PF01712.26			signal_peptide:1..21;score=2.48;h_max=2.18
	signal_peptide	NC_000964.3	23087	23149	-	62	signal peptide (BSUB_00015)	2.5	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00015;cleavage_site=21
BSUB_00016	CDS	NC_000964.3	23146	23769	-	623	dNK	213.4	protein motif:Pfam-A	Pfam:PF01712.26		OP_0003:1/3	
BSUB_00017	CDS	NC_000964.3	23868	25151	-	1283	LysM	102.3	protein motif:Pfam-A	Pfam:PF01476.27		OP_0003:2/3	
BSUB_00018	CDS	NC_000964.3	25221	25766	-	545	Isochorismatase	123.3	protein motif:Pfam-A	Pfam:PF00857.27		OP_0003:3/3	signal_peptide:1..24;score=2.08;h_max=2.62
	signal_peptide	NC_000964.3	25695	25766	-	71	signal peptide (BSUB_00018)	2.1	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00018;cleavage_site=24
BSUB_00019	CDS	NC_000964.3	25852	26337	+	485	dCMP_cyt_deam_1	113.5	protein motif:Pfam-A	Pfam:PF00383.30;Pfam:PF14437.13			
BSUB_00020	CDS	NC_000964.3	26814	28505	+	1691	DNA_pol3_delta2	164.7	protein motif:Pfam-A	Pfam:PF13177.13		OP_0004:1/5	
BSUB_00021	CDS	NC_000964.3	28529	28852	+	323	YbaB_DNA_bd	119.3	protein motif:Pfam-A	Pfam:PF02575.22		OP_0004:2/5	
BSUB_00022	CDS	NC_000964.3	28867	29463	+	596	Toprim_4	90.0	protein motif:Pfam-A	Pfam:PF13662.13		OP_0004:3/5	
BSUB_00023	CDS	NC_000964.3	29481	29705	+	224	DUF2508	85.3	protein motif:Pfam-A	Pfam:PF10704.15		OP_0004:4/5	
BSUB_00024	CDS	NC_000964.3	29772	30035	+	263	BofA	79.7	protein motif:Pfam-A	Pfam:PF07441.17		OP_0004:5/5	
BSUB_r0004	rRNA	NC_000964.3	30283	31829	+	1546	16S ribosomal RNA		COORDINATES:profile:Barrnap				
BSUB_00025	CDS	NC_000964.3	31474	31728	+	254	hypothetical protein	6.3	ab initio prediction:Prodigal				
BSUB_t0004	tRNA	NC_000964.3	31932	32008	+	76	tRNA-Ile		COORDINATES:profile:Aragorn				
BSUB_t0005	tRNA	NC_000964.3	32020	32095	+	75	tRNA-Ala		COORDINATES:profile:Aragorn				
BSUB_r0005	rRNA	NC_000964.3	32179	35102	+	2923	23S ribosomal RNA		COORDINATES:profile:Barrnap				
BSUB_r0006	rRNA	NC_000964.3	35239	35349	+	110	5S ribosomal RNA	0.0	COORDINATES:profile:Barrnap				
BSUB_00026	CDS	NC_000964.3	35531	35725	+	194	Gin	73.4	protein motif:Pfam-A	Pfam:PF10764.15		OP_0005:1/4	
BSUB_00027	CDS	NC_000964.3	35845	36459	+	614	Halogen_Hydrol	226.0	protein motif:Pfam-A	Pfam:PF10112.15		OP_0005:2/4	
BSUB_00028	CDS	NC_000964.3	36478	37638	+	1160	TelA	412.2	protein motif:Pfam-A	Pfam:PF05816.17		OP_0005:3/4	
BSUB_00029	CDS	NC_000964.3	37720	39162	+	1442	OKR_DC_1	427.9	protein motif:Pfam-A	Pfam:PF01276.27		OP_0005:4/4	
BSUB_00030	CDS	NC_000964.3	39159	39797	+	638	Thymidylate_kin	201.5	protein motif:Pfam-A	Pfam:PF02223.24		OP_0006:1/7	
BSUB_00031	CDS	NC_000964.3	39871	40200	+	329	CdAMP_rec	183.5	protein motif:Pfam-A	Pfam:PF06153.17		OP_0006:2/7	signal_peptide:1..33;score=1.94;h_max=1.96
	signal_peptide	NC_000964.3	39871	39969	+	98	signal peptide (BSUB_00031)	1.9	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00031;cleavage_site=33
BSUB_00032	CDS	NC_000964.3	40213	40653	+	440	DUF327	137.4	protein motif:Pfam-A	Pfam:PF03885.19		OP_0006:3/7	
BSUB_00033	CDS	NC_000964.3	40665	41654	+	989	DNA_pol3_delta2	210.0	protein motif:Pfam-A	Pfam:PF13177.13		OP_0006:4/7	
BSUB_00034	CDS	NC_000964.3	41657	42484	+	827	PSP1	125.8	protein motif:Pfam-A	Pfam:PF04468.18		OP_0006:5/7	
BSUB_00035	CDS	NC_000964.3	42499	42858	+	359	YabA	130.1	protein motif:Pfam-A	Pfam:PF06156.19		OP_0006:6/7	
BSUB_00036	CDS	NC_000964.3	42917	43660	+	743	MTS	40.8	protein motif:Pfam-A	Pfam:PF05175.21		OP_0006:7/7	
BSUB_00037	CDS	NC_000964.3	43647	43946	+	299	GIY-YIG	72.6	protein motif:Pfam-A	Pfam:PF01541.31			
BSUB_00038	CDS	NC_000964.3	43921	44799	+	878	TP_methylase	109.1	protein motif:Pfam-A	Pfam:PF00590.26			signal_peptide:1..22;score=1.36;h_max=1.62
	signal_peptide	NC_000964.3	43921	43986	+	65	signal peptide (BSUB_00038)	1.4	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00038;cleavage_site=22
BSUB_00039	CDS	NC_000964.3	44848	45132	-	284	AbrB_C	61.6	protein motif:Pfam-A	Pfam:PF18277.7			signal_peptide:1..29;score=2.41;h_max=1.84
	signal_peptide	NC_000964.3	45046	45132	-	86	signal peptide (BSUB_00039)	2.4	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00039;cleavage_site=29
BSUB_00040	CDS	NC_000964.3	45633	47627	+	1994	tRNA-synt_1g	403.2	protein motif:Pfam-A	Pfam:PF09334.18		OP_0007:1/4	
BSUB_00041	CDS	NC_000964.3	47706	48473	+	767	TatD_DNase	338.4	protein motif:Pfam-A	Pfam:PF01026.28		OP_0007:2/4	
BSUB_00042	CDS	NC_000964.3	48629	49942	+	1313	DUF348	138.3	protein motif:Pfam-A	Pfam:PF03990.21		OP_0007:3/4	
BSUB_00043	CDS	NC_000964.3	50087	50647	+	560	DUF4093	105.5	protein motif:Pfam-A	Pfam:PF13331.12		OP_0007:4/4	
BSUB_00044	CDS	NC_000964.3	50640	51518	+	878	RrnaAD	324.5	protein motif:Pfam-A	Pfam:PF00398.27		OP_0008:1/6	
BSUB_00045	CDS	NC_000964.3	51662	52552	+	890	Peptidase_U57	400.6	protein motif:Pfam-A	Pfam:PF05582.18		OP_0008:2/6	
BSUB_00046	CDS	NC_000964.3	52763	53023	+	260	VEG	112.8	protein motif:Pfam-A	Pfam:PF06257.18		OP_0008:3/6	
BSUB_00047	CDS	NC_000964.3	53183	53368	+	185	hypothetical protein	14.6	ab initio prediction:Prodigal			OP_0008:4/6	
BSUB_00048	CDS	NC_000964.3	53516	54385	+	869	GHMP_kinases_N	76.6	protein motif:Pfam-A	Pfam:PF00288.33		OP_0008:5/6	
BSUB_00049	CDS	NC_000964.3	54441	55298	+	857	PuR_N	107.4	protein motif:Pfam-A	Pfam:PF09182.17		OP_0008:6/6	
BSUB_00050	CDS	NC_000964.3	55295	55672	+	377	Ribonuc_L-PSP	168.2	protein motif:Pfam-A	Pfam:PF01042.27		OP_0009:1/10	
BSUB_00051	CDS	NC_000964.3	55866	56159	+	293	SpoVG	124.7	protein motif:Pfam-A	Pfam:PF04026.18		OP_0009:2/10	
BSUB_00052	CDS	NC_000964.3	56352	57722	+	1370	Hexapep	103.4	protein motif:Pfam-A	Pfam:PF00132.31		OP_0009:3/10	signal_peptide:1..30;score=2.06;h_max=2.5
	signal_peptide	NC_000964.3	56352	56441	+	89	signal peptide (BSUB_00052)	2.1	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00052;cleavage_site=30
BSUB_00053	CDS	NC_000964.3	57745	58698	+	953	Pribosyltran_N	188.0	protein motif:Pfam-A	Pfam:PF13793.13		OP_0009:4/10	
BSUB_00054	CDS	NC_000964.3	58783	59397	+	614	Ribosomal_TL5_C	89.0	protein motif:Pfam-A	Pfam:PF14693.12		OP_0009:5/10	
BSUB_00055	CDS	NC_000964.3	59504	60070	+	566	Pept_tRNA_hydro	248.3	protein motif:Pfam-A	Pfam:PF01195.26		OP_0009:6/10	
BSUB_00056	CDS	NC_000964.3	60130	60360	+	230	Fin	128.2	protein motif:Pfam-A	Pfam:PF10955.14		OP_0009:7/10	
BSUB_00057	CDS	NC_000964.3	60430	63963	+	3533	UvrB_inter	100.3	protein motif:Pfam-A	Pfam:PF17757.7		OP_0009:8/10	
BSUB_00058	CDS	NC_000964.3	64099	64635	+	536	SpoVT_C	160.9	protein motif:Pfam-A	Pfam:PF15714.12		OP_0009:9/10	
BSUB_00059	CDS	NC_000964.3	64817	66415	+	1598	Polysacc_synt	215.2	protein motif:Pfam-A	Pfam:PF01943.23		OP_0009:10/10	
BSUB_00060	CDS	NC_000964.3	66405	67874	+	1469	MazG	139.8	protein motif:Pfam-A	Pfam:PF03819.23		OP_0010:1/3	signal_peptide:1..21;score=1.97;h_max=2.12
	signal_peptide	NC_000964.3	66405	66467	+	62	signal peptide (BSUB_00060)	2.0	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00060;cleavage_site=21
BSUB_00061	CDS	NC_000964.3	67877	68137	+	260	S4	44.1	protein motif:Pfam-A	Pfam:PF01479.31		OP_0010:2/3	
BSUB_00062	CDS	NC_000964.3	68216	68518	+	302	YabP	98.6	protein motif:Pfam-A	Pfam:PF07873.18		OP_0010:3/3	
BSUB_00063	CDS	NC_000964.3	68515	69150	+	635	Spore_YabQ	86.1	protein motif:Pfam-A	Pfam:PF09578.16		OP_0011:1/3	
BSUB_00064	CDS	NC_000964.3	69168	69545	+	377	DivIC	73.3	protein motif:Pfam-A	Pfam:PF04977.21		OP_0011:2/3	
BSUB_00065	CDS	NC_000964.3	69626	70012	+	386	S1	81.2	protein motif:Pfam-A	Pfam:PF00575.30		OP_0011:3/3	
BSUB_t0006	tRNA	NC_000964.3	70181	70257	+	76	tRNA-Met		COORDINATES:profile:Aragorn				
BSUB_t0007	tRNA	NC_000964.3	70266	70341	+	75	tRNA-Glu		COORDINATES:profile:Aragorn				
BSUB_00066	CDS	NC_000964.3	70538	73021	+	2483	SpoIIE_N	861.6	protein motif:Pfam-A	Pfam:PF19732.5		OP_0012:1/2	
BSUB_00067	CDS	NC_000964.3	73106	73843	+	737	hypothetical protein	101.8	ab initio prediction:Prodigal			OP_0012:2/2	signal_peptide:1..27;score=2.4;h_max=1.81
	signal_peptide	NC_000964.3	73106	73186	+	80	signal peptide (BSUB_00067)	2.4	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00067;cleavage_site=27
BSUB_00068	CDS	NC_000964.3	73809	74825	+	1016	Pkinase	52.4	protein motif:Pfam-A	Pfam:PF00069.32		OP_0013:1/2	
BSUB_00069	CDS	NC_000964.3	74929	76347	+	1418	ATP_bind_3	221.1	protein motif:Pfam-A	Pfam:PF01171.27		OP_0013:2/2	
BSUB_00070	CDS	NC_000964.3	76344	76886	+	542	Pribosyltran	98.4	protein motif:Pfam-A	Pfam:PF00156.34		OP_0014:1/9	
BSUB_00071	CDS	NC_000964.3	76984	78897	+	1913	Peptidase_M41	271.4	protein motif:Pfam-A	Pfam:PF01434.25		OP_0014:2/9	signal_peptide:1..20;score=2.41;h_max=4.08
	signal_peptide	NC_000964.3	76984	77043	+	59	signal peptide (BSUB_00071)	2.4	ab initio prediction:Darwin:SignalScanner				parent=BSUB_00071;cleavage_site=20
BSUB_00072	CDS	NC_000964.3	79092	79868	+	776	Pan_kinase	283.3	protein motif:Pfam-A	Pfam:PF03309.21		OP_0014:3/9	
BSUB_00073	CDS	NC_000964.3	79880	80755	+	875	HSP33	342.8	protein motif:Pfam-A	Pfam:PF01430.25		OP_0014:4/9	
